GHG source,Federal organization,Fiscal year,GHG scope,Energy category,Energy type,Location,Energy use (GJ),Emissions (t)
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,ON,16.29599822,1.160016306
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,ON,20.87350178,1.465512589
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,liquified petroleum gas,propane,NS,36.86907375,2.249569967
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,liquified petroleum gas,propane,NB,77.0765481,4.702831477
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,liquified petroleum gas,propane,QC,83.8773613,5.117785156
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,liquified petroleum gas,propane,ON,293.6971302,17.91996157
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NB,600.932436,42.77683282
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,liquified petroleum gas,propane,PE,619.0244942,37.7698245
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,liquified petroleum gas,propane,SK,658.7585897,40.19420034
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,NL,1844.585678,10.24769896
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,QC,2057.948298,146.4931778
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,QC,2114.018055,148.4236178
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NL,4586.587799,326.4920483
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,PE,9026.55687,1002.951021
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,district heating,district energy - steam,MB,15348.99915,1280.571373
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,district heating,district energy - steam,QC,16322.0011,1361.749008
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,NS,18055.7956,4413.640631
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,NB,19328.80862,2147.645158
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,natural gas,natural gas,NB,19342.9502,966.2937088
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,PE,21720.22273,1546.135381
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,natural gas,natural gas,MB,23628.42542,1171.114634
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NS,28838.62267,2052.851379
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,district heating,district energy - steam,SK,30952.99512,2582.41716
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,BC,42894.07772,297.8755641
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,natural gas,natural gas,QC,43246.95349,2144.613804
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,natural gas,natural gas,BC,44464.50521,2250.316036
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,MB,55806.19725,150.3667395
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,natural gas,natural gas,SK,66219.44689,3183.433179
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,SK,67081.12336,14534.24529
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,QC,78191.01624,84.70692926
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,AB,87984.71763,22240.58061
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,district heating,district energy - steam,ON,91944.00732,6005.858826
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,natural gas,natural gas,ON,113052.0408,5609.200412
facilities,Agriculture and Agri-Food Canada,FY 2005-06,1,natural gas,natural gas,AB,136286.8949,6904.506546
facilities,Agriculture and Agri-Food Canada,FY 2005-06,2,electricity,electricity,ON,144281.6581,9217.993212
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Liquified petroleum gas,propane,AB,760.26,46.38
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Natural gas,natural gas,AB,166357.46,8291.78
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,AB,89394.32,21603.63
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Natural gas,natural gas,BC,45926.19,2289.11
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,BC,41544.06,276.96
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Natural gas,natural gas,MB,23284.74,1160.59
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,District energy,district heating,MB,18904.83,1569.01
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,MB,42666.35,27.26
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NB,373.46,26.58
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Liquified petroleum gas,propane,NB,189.9,11.58
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Natural gas,natural gas,NB,16367.02,815.78
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,NB,16209.82,2251.36
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NL,4312.82,307.01
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,NL,2343.19,11.07
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NS,20059.64,1427.96
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Liquified petroleum gas,propane,NS,27.02,1.65
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,NS,18802.44,3917.17
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Natural gas,natural gas,ON,130035.92,6481.4
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,District energy,district heating,ON,44841,2929.06
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,ON,106036.36,3829.09
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,PE,17748.8,1263.46
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,PE,7252.32,6.85
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,QC,854.26,60.81
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Natural gas,natural gas,QC,51920.73,2587.89
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,District energy,district heating,QC,19395,1609.69
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,QC,80966.74,58.48
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Liquified petroleum gas,propane,SK,64.49,3.93
facilities,Agriculture and Agri-Food Canada,FY 2010-11,1,Natural gas,natural gas,SK,53465.66,2664.9
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,District energy,district heating,SK,38438.29,3190.19
facilities,Agriculture and Agri-Food Canada,FY 2010-11,2,Electricity,electricity,SK,64111.2,14246.93
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Natural gas,natural gas,AB,144456.64,7200.18
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,AB,88414.64,17682.93
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Natural gas,natural gas,BC,45362.09,2260.99
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,BC,41784.27,162.49
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Natural gas,natural gas,MB,20219.07,1007.78
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,District energy,district heating,MB,18589,1542.79
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,MB,45228.3,38.95
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NB,50.32,3.58
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Liquified petroleum gas,propane,NB,170.72,10.41
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Natural gas,natural gas,NB,17744.99,884.47
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,NB,16215.35,1981.88
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NL,4588.26,326.62
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,NL,2506.67,14.62
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NS,22965.1,1634.78
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,NS,17048,3504.31
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Natural gas,natural gas,ON,128871.81,6423.38
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,District energy,district heating,ON,39472,2578.35
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,ON,99122.1,2560.65
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,PE,13465.07,958.52
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Liquified petroleum gas,propane,PE,562.06,34.29
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,PE,7651.94,5.31
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,QC,1691.72,120.43
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Natural gas,natural gas,QC,45925.39,2289.07
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,District energy,district heating,QC,18283,1517.4
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,QC,77631.84,49.6
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Liquified petroleum gas,propane,SK,134.19,8.19
facilities,Agriculture and Agri-Food Canada,FY 2011-12,1,Natural gas,natural gas,SK,49334.51,2458.99
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,District energy,district heating,SK,37425,3106.09
facilities,Agriculture and Agri-Food Canada,FY 2011-12,2,Electricity,electricity,SK,63950.78,14388.93
facilities,Agriculture and Agri-Food Canada,FY 2012-13,1,Liquified petroleum gas,propane,AB,1878.46,114.59
facilities,Agriculture and Agri-Food Canada,FY 2012-13,1,Natural gas,natural gas,AB,149991.75,7476.07
facilities,Agriculture and Agri-Food Canada,FY 2012-13,2,Electricity,electricity,AB,88144.3,19587.62
facilities,Agriculture and Agri-Food Canada,FY 2012-13,1,Natural gas,natural gas,BC,43817.11,2183.98
facilities,Agriculture and Agri-Food Canada,FY 2012-13,2,Electricity,electricity,BC,42005.53,136.52
facilities,Agriculture and Agri-Food Canada,FY 2012-13,1,Natural gas,natural gas,MB,23789.42,1185.74
facilities,Agriculture and Agri-Food Canada,FY 2012-13,2,District energy,district cooling,MB,541,24.66
facilities,Agriculture and Agri-Food Canada,FY 2012-13,2,District energy,district heating,MB,23783,1973.87
facilities,Agriculture and Agri-Food Canada,FY 2012-13,2,Electricity,electricity,MB,46680.91,38.9
facilities,Agriculture and Agri-Food Canada,FY 2012-13,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",light fuel oil,NB,189.85,13.51
facilities,Agriculture and Agri-Food Canada,FY 2012-13,1,Liquified petroleum gas,propane,NB,67.93,4.14
facilities,Agriculture and Agri-Food Canada,FY 2012-13,1,Natural gas,natural gas,NB,16539.99,824.41
facilities,Agriculture and Agri-Food Canada,FY 2012-13,2,Electricity,electricity,NB,15642.59,1824.97
